"","ID","step","angle","TimeNum","locType","time","mu.x","nu.x","mu.y","nu.y","se.mu.x","se.nu.x","se.mu.y","se.nu.y","speed","x","y","Bottom.Temp","Exposure","Location","Year","TSR","HoD"
"45101","53273",1.26069414286255,-0.223107023987478,418055.516666667,"p",2017-09-09 23:31:00,1143559.84987572,-2.70146624821953,5065738.85059859,0.224848161350589,0.903282901421255,14.5277248734962,0.903282901421255,14.5277248734962,2.71080736791312,1143559.84987572,5065738.85059859,-0.858352941176471,"Post","Carson","2017",117.35,11
"46100","53273",0.920347246098754,-0.073102002074239,418056.016666667,"p",2017-09-10 00:01:00,1143558.60147149,-2.43963218140208,5065739.02620214,0.378878065883367,2.87294274220702,14.4254490398046,2.87294274220702,14.4254490398046,2.46887702596549,1143558.60147149,5065739.02620214,-0.858352941176471,"Post","Carson","2017",117.35,11
"4890","53273",0.162849605905531,-1.34222623745433,418056.516666667,"p",2017-09-10 00:31:00,1143557.7018934,0.354686650044408,5065739.22062002,0.419461584354756,0.784461598805193,13.0397645684268,0.784461598805193,13.0397645684268,0.549318341646378,1143557.7018934,5065739.22062002,-0.858352941176471,"Post","Carson","2017",117.35,11
"5180","53273",2.08224335125553,1.34384476635633,418057.016666667,"p",2017-09-10 01:01:00,1143557.6993331,-2.75159918969745,5065739.38344949,0.467293819203053,0.385784914168504,13.2983510255971,0.385784914168504,13.2983510255971,2.79099652708652,1143557.6993331,5065739.38344949,-0.858352941176471,"Post","Carson","2017",117.35,11
"5347","53273",3.12785138433245,-0.118334418801401,418057.516666667,"p",2017-09-10 01:31:00,1143555.66336975,-5.41257106571585,5065739.82001632,1.62004653723573,0.234563424258771,14.5897844398058,0.234563424258771,14.5897844398058,5.6498209108107,1143555.66336975,5065739.82001632,-0.86,"Post","Carson","2017",118.35,12
"5447","53273",2.91417833141776,0.103127161433706,418058.016666667,"p",2017-09-10 02:01:00,1143552.7038477,-4.72311990118129,5065740.83228287,1.69397811385187,1.00283099274005,13.8313950850954,1.00283099274005,13.8313950850954,5.0177109772429,1143552.7038477,5065740.83228287,-0.86,"Post","Carson","2017",118.35,12
"6039","53273",2.0110777618222,1.63089142959108,418058.516666667,"p",2017-09-10 02:31:00,1143549.8640606,6.70970224971852,5065741.48653401,-3.40372296490093,0.231019479698141,7.86734771063285,0.231019479698141,7.86734771063285,7.52365830574939,1143549.8640606,5065741.48653401,-0.86,"Post","Carson","2017",118.35,12
"6539","53273",4.34366003083914,1.78383981408983,418059.016666667,"p",2017-09-10 03:01:00,1143549.5310761,5.96021996069536,5065739.5032148,-0.321628438019654,0.106911178087233,7.13583842305864,0.106911178087233,7.13583842305864,5.96889159157832,1143549.5310761,5065739.5032148,-0.86,"Post","Carson","2017",118.35,12
"6839","53273",0.708114410767824,-0.354734331231188,418059.516666667,"p",2017-09-10 03:31:00,1143553.87,4.45874612389317,5065739.706,0.581178011031357,0,9.82230726458911,0,9.82230726458911,4.49646359685461,1143553.87,5065739.706,-0.86,"Post","Carson","2017",118.35,12
"72361","53273",0.143523703293303,-1.43763341683584,418060.016666667,"p",2017-09-10 04:01:00,1143554.54478493,0.936954517231562,5065739.49131113,-0.672807275375446,0.904334009091774,12.8889999612072,0.904334009091774,12.8889999612072,1.1534961626112,1143554.54478493,5065739.49131113,-0.84,"Post","Carson","2017",120.35,14
